invoice_id,account_id,invoice_date,amount,currency,status,line_items
INV-000001,ACC-0001,2024-06-04,149,USD,paid,novacrm_platform
INV-000002,ACC-0001,2024-07-04,149,USD,paid,novacrm_platform
INV-000003,ACC-0001,2024-08-03,149,USD,overdue,novacrm_platform
INV-000004,ACC-0001,2024-09-03,149,USD,paid,novacrm_platform
INV-000005,ACC-0001,2024-10-03,149,USD,paid,novacrm_platform
INV-000006,ACC-0001,2024-11-01,149,USD,paid,novacrm_platform
INV-000007,ACC-0001,2024-12-03,149,USD,paid,novacrm_platform
INV-000008,ACC-0001,2025-01-03,149,USD,paid,novacrm_platform
INV-000009,ACC-0002,2023-08-02,49,USD,paid,novacrm_platform
INV-000010,ACC-0002,2023-09-04,49,USD,paid,novacrm_platform
INV-000011,ACC-0002,2023-10-04,49,USD,overdue,novacrm_platform
INV-000012,ACC-0002,2023-11-02,49,USD,paid,novacrm_platform
INV-000013,ACC-0002,2023-12-04,49,USD,paid,novacrm_platform
INV-000014,ACC-0002,2024-01-02,49,USD,paid,novacrm_platform
INV-000015,ACC-0002,2024-02-02,108,USD,paid,novacrm_platform|priority_support
INV-000016,ACC-0002,2024-03-03,108,USD,paid,novacrm_platform|priority_support
INV-000017,ACC-0002,2024-04-04,108,USD,overdue,novacrm_platform|priority_support
INV-000018,ACC-0002,2024-05-04,108,USD,overdue,novacrm_platform|priority_support
INV-000019,ACC-0002,2024-06-02,108,USD,paid,novacrm_platform|priority_support
INV-000020,ACC-0003,2024-07-01,49,USD,paid,novacrm_platform
INV-000021,ACC-0003,2024-08-03,49,USD,paid,novacrm_platform
INV-000022,ACC-0003,2024-09-03,78,USD,paid,novacrm_platform|api_access
INV-000023,ACC-0003,2024-10-04,78,USD,paid,novacrm_platform|api_access
INV-000024,ACC-0003,2024-11-04,137,USD,paid,novacrm_platform|api_access|priority_support
INV-000025,ACC-0003,2024-12-02,137,USD,paid,novacrm_platform|api_access|priority_support
INV-000026,ACC-0003,2025-01-04,137,USD,paid,novacrm_platform|api_access|priority_support
INV-000027,ACC-0004,2023-02-03,149,USD,paid,novacrm_platform
INV-000028,ACC-0004,2023-03-04,149,USD,paid,novacrm_platform
INV-000029,ACC-0004,2023-04-02,228,USD,paid,novacrm_platform|advanced_analytics
INV-000030,ACC-0004,2023-05-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000031,ACC-0004,2023-06-03,228,USD,paid,novacrm_platform|advanced_analytics
INV-000032,ACC-0004,2023-07-03,578,USD,paid,novacrm_platform|advanced_analytics
INV-000033,ACC-0004,2023-08-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000034,ACC-0004,2023-09-04,578,USD,paid,novacrm_platform|advanced_analytics
INV-000035,ACC-0004,2023-10-01,578,USD,paid,novacrm_platform|advanced_analytics
INV-000036,ACC-0004,2023-11-03,578,USD,paid,novacrm_platform|advanced_analytics
