ticket_id,account_id,created_at,resolved_at,priority,category,status,satisfaction_score
TKT-00001,ACC-0001,2024-10-05T05:42:44,2024-10-08T09:28:50.352748,p4,bug,resolved,2.7
TKT-00002,ACC-0001,2024-08-27T01:32:22,,p3,feature_request,open,
TKT-00003,ACC-0001,2024-10-21T17:16:08,2024-10-26T01:59:48.926764,p4,billing,resolved,3.6
TKT-00004,ACC-0001,2024-08-16T23:20:27,2024-08-17T09:05:59.479411,p3,bug,resolved,4.4
TKT-00005,ACC-0001,2024-06-11T19:25:17,2024-06-13T03:12:34.724014,p4,onboarding,resolved,3.0
TKT-00006,ACC-0001,2024-11-09T15:34:38,2024-11-09T20:37:41.576474,p2,how_to,resolved,4.3
TKT-00007,ACC-0001,2024-05-18T12:39:55,2024-05-20T00:56:47.200151,p4,bug,resolved,2.7
TKT-00008,ACC-0001,2024-12-06T11:44:59,2024-12-10T21:34:17.526729,p4,onboarding,resolved,3.5
TKT-00009,ACC-0001,2024-05-31T05:28:22,2024-06-14T22:51:20.597754,p4,feature_request,resolved,2.8
TKT-00010,ACC-0002,2024-04-06T19:44:01,2024-04-20T13:46:20.959740,p4,bug,resolved,3.5
TKT-00011,ACC-0002,2023-12-31T03:48:14,2024-01-04T10:11:35.887127,p4,bug,resolved,1.6
TKT-00012,ACC-0002,2024-11-25T23:33:51,2024-11-26T05:24:52.995483,p2,performance,resolved,1.6
TKT-00013,ACC-0002,2023-09-01T07:08:20,2023-09-01T18:31:01.578494,p2,onboarding,resolved,3.1
TKT-00014,ACC-0002,2024-11-27T05:35:14,2024-11-28T20:33:57.474432,p3,bug,resolved,2.1
TKT-00015,ACC-0002,2023-08-10T06:27:57,2023-08-12T22:32:06.284266,p3,billing,resolved,1.7
TKT-00016,ACC-0002,2023-08-03T02:26:27,2023-08-03T04:59:20.544999,p1,feature_request,resolved,3.8
TKT-00017,ACC-0002,2024-01-18T01:41:41,2024-01-18T05:19:52.360730,p1,billing,resolved,3.9
TKT-00018,ACC-0002,2023-12-11T20:21:08,2023-12-14T06:33:23.063971,p4,billing,resolved,3.6
TKT-00019,ACC-0002,2023-07-25T19:54:39,2023-07-29T07:10:23.312953,p4,how_to,resolved,3.8
TKT-00020,ACC-0002,2024-11-03T14:32:10,2024-11-03T16:06:28.594499,p1,bug,resolved,1.8
TKT-00021,ACC-0002,2023-11-05T08:36:46,2023-11-06T11:31:03.623894,p3,performance,resolved,1.4
TKT-00022,ACC-0002,2024-01-11T06:48:00,2024-01-24T20:41:53.054875,p4,bug,resolved,2.5
TKT-00023,ACC-0002,2023-10-16T00:55:46,2023-10-16T18:30:58.526430,p2,billing,resolved,3.5
TKT-00024,ACC-0002,2024-07-11T19:49:04,2024-07-12T07:07:33.017445,p2,feature_request,resolved,3.2
TKT-00025,ACC-0002,2024-12-10T23:37:02,2024-12-24T05:00:23.194663,p4,feature_request,resolved,2.6
TKT-00026,ACC-0002,2023-10-06T20:22:25,2023-10-09T02:16:08.185732,p4,billing,resolved,2.5
TKT-00027,ACC-0002,2024-09-20T01:09:17,2024-09-21T05:37:03.460874,p3,performance,resolved,3.0
TKT-00028,ACC-0002,2023-12-26T07:09:12,2023-12-27T14:13:38.644007,p3,billing,resolved,1.8
TKT-00029,ACC-0003,2024-12-06T14:25:51,2024-12-08T03:01:58.983223,p4,feature_request,resolved,4.7
TKT-00030,ACC-0004,2024-07-20T06:58:19,2024-07-21T05:51:47.089803,p3,how_to,resolved,2.5
TKT-00031,ACC-0004,2023-08-11T00:43:43,2023-08-12T10:11:19.148789,p3,performance,resolved,3.3
TKT-00032,ACC-0004,2024-09-10T16:01:00,,p4,onboarding,open,
TKT-00033,ACC-0004,2023-11-06T12:42:16,2023-11-08T00:13:45.037603,p3,billing,resolved,4.6
TKT-00034,ACC-0004,2023-06-03T07:48:58,2023-06-03T16:35:56.928048,p2,how_to,resolved,3.1
TKT-00035,ACC-0004,2024-05-08T14:39:30,,p1,bug,escalated,
TKT-00036,ACC-0004,2024-05-09T15:54:49,2024-05-09T23:09:03.191620,p2,how_to,resolved,4.6
TKT-00037,ACC-0004,2024-08-26T22:20:40,2024-08-27T04:17:12.704676,p1,bug,resolved,4.9
TKT-00038,ACC-0004,2024-08-03T23:08:57,2024-08-05T07:06:19.358469,p4,how_to,resolved,4.9
TKT-00039,ACC-0004,2023-04-22T23:02:50,2023-04-24T06:34:19.121735,p2,feature_request,resolved,3.7
TKT-00040,ACC-0004,2024-09-19T03:05:29,,p3,bug,open,
TKT-00041,ACC-0004,2024-10-21T08:52:51,2024-11-05T08:29:23.861138,p4,feature_request,resolved,3.2
TKT-00042,ACC-0004,2023-05-31T04:48:57,2023-06-01T14:39:40.584290,p3,how_to,resolved,3.4
TKT-00043,ACC-0004,2023-09-22T14:11:08,2023-09-25T22:43:14.566272,p4,bug,resolved,4.2
TKT-00044,ACC-0004,2023-04-17T23:06:24,2023-04-18T11:20:04.740864,p3,onboarding,resolved,4.6
TKT-00045,ACC-0004,2024-04-17T11:27:55,2024-04-20T06:33:20.517410,p3,how_to,resolved,4.3
TKT-00046,ACC-0004,2023-02-12T22:40:49,2023-02-14T17:57:24.805610,p3,feature_request,resolved,2.5
TKT-00047,ACC-0004,2025-01-14T11:42:42,2025-01-16T02:37:38.136539,p3,how_to,resolved,4.3
TKT-00048,ACC-0004,2023-09-23T07:18:16,2023-09-23T23:45:22.034366,p3,bug,resolved,4.9
TKT-00049,ACC-0004,2024-04-15T05:37:44,2024-04-15T15:57:58.601510,p2,billing,resolved,4.7
TKT-00050,ACC-0004,2024-07-03T02:40:06,2024-07-07T06:26:49.523293,p4,onboarding,resolved,4.2
TKT-00051,ACC-0004,2024-12-29T06:50:03,2024-12-30T12:06:35.116996,p3,billing,resolved,2.9
TKT-00052,ACC-0004,2023-11-11T12:13:43,2023-11-11T17:50:21.088658,p2,feature_request,resolved,3.9
TKT-00053,ACC-0005,2024-09-13T01:05:14,2024-09-14T02:36:06.793140,p3,how_to,resolved,3.4
TKT-00054,ACC-0005,2025-01-14T16:25:12,2025-01-15T23:57:50.761438,p2,feature_request,resolved,3.0
TKT-00055,ACC-0005,2024-06-28T00:34:03,,p4,billing,escalated,
TKT-00056,ACC-0005,2024-05-11T12:20:18,2024-05-12T06:09:38.447980,p3,feature_request,resolved,3.6
TKT-00057,ACC-0005,2024-11-27T22:45:07,2024-11-28T01:18:32.426059,p2,bug,resolved,4.5
TKT-00058,ACC-0005,2025-01-05T04:59:34,2025-01-06T09:22:09.323846,p3,feature_request,resolved,4.8
